"","x"
"1010","Parl"
"1011","Parm1"
"1012","Parp3"
"1013","Parva"
"1014","Pbrm1"
"1015","Pbxip1"
"1016","Pcbd2"
"1017","Pcbp4"
"1018","Pcmt1"
"1019","Pcyox1"
"1020","Pdcd5"
"1021","Pdcd6ip"
"1022","Pdcl3"
"1023","Pde4dip"
"1024","Pdgfa"
"1025","Pdgfrb"
"1026","Pdia3"
"1027","Pdia5"
"1028","Pdlim5"
"1029","Pdlim7"
"1030","Pdpn"
"1031","Pdxdc1"
"1032","Pea15a"
"1033","Pes1"
"1034","Pex19"
"1035","Pfdn1"
"1036","Pfdn2"
"1037","Pfdn4"
"1038","Pfkl"
"1039","Pgd"
"1040","Pgp"
"1041","Pgrmc2"
"1042","Phax"
"1043","Phb2"
"1044","Phgdh"
"1045","Phlda1"
"1046","Phlda3"
"1047","Phldb2"
"1048","Picalm"
"1049","Pigk"
"1050","Pigp"
"1051","Pigs"
"1052","Pigyl"
"1053","Pitpna"
"1054","Pitpnb"
"1055","Pitpnc1"
"1056","Pitrm1"
"1057","Pja2"
"1058","Pkig"
"1059","Pla2g4a"
"1060","Plaa"
"1061","Pld3"
"1062","Plec"
"1063","Plekho2"
"1064","Plin2"
"1065","Plk2"
"1066","Plod1"
"1067","Plod3"
"1068","Plscr3"
"1069","Plxna1"
"1070","Plxnb2"
"1071","Pmepa1"
"1072","Pmm1"
"1073","Pmp22"
"1074","Pmpca"
"1075","Pmpcb"
"1076","Pnn"
"1077","Pno1"
"1078","Pofut2"
"1079","Pold4"
"1080","Poldip2"
"1081","Pole4"
"1082","Polr1c"
"1083","Polr1d"
"1084","Polr2f"
"1085","Polr2g"
"1086","Polr2h"
"1087","Polr2j"
"1088","Polr3k"
"1089","Pomgnt1"
"1090","Pomp"
"1091","Pon2"
"1092","Pop4"
"1093","Pop7"
"1094","Por"
"1095","Ppap2a"
"1096","Ppfibp1"
"1097","Pphln1"
"1098","Ppic"
"1099","Ppid"
"1100","Ppil1"
"1101","Ppm1g"
"1102","Ppme1"
"1103","Ppp1ca"
"1104","Ppp1cb"
"1105","Ppp1r11"
"1106","Ppp2ca"
"1107","Ppp2r1a"
"1108","Ppp2r4"
"1109","Ppp2r5b"
"1110","Ppp2r5c"
"1111","Ppp3r1"
"1112","Ppp5c"
"1113","Prdx1"
"1114","Prdx3"
"1115","Prdx6"
"1116","Prelid1"
"1117","Prep"
"1118","Prkag1"
"1119","Prkar1a"
"1120","Prkcdbp"
"1121","Prkcsh"
"1122","Prmt1"
"1123","Prmt5"
"1124","Prnp"
"1125","Pros1"
"1126","Prpf31"
"1127","Prpsap1"
"1128","Prr13"
"1129","Prrx1"
"1130","Prrx2"
"1131","Prss23"
"1132","Psap"
"1133","Psat1"
"1134","Psen1"
"1135","Psma1"
"1136","Psma2"
"1137","Psma7"
"1138","Psmb4"
"1139","Psmb6"
"1140","Psmb7"
"1141","Psmc1"
"1142","Psmc2"
"1143","Psmc3"
"1144","Psmc4"
"1145","Psmc5"
"1146","Psmc6"
"1147","Psmd1"
"1148","Psmd12"
"1149","Psmd13"
"1150","Psmd14"
"1151","Psmd3"
"1152","Psmd5"
"1153","Psmd7"
"1154","Psmd8"
"1155","Psme2"
"1156","Psme3"
"1157","Psmg2"
"1158","Psrc1"
"1159","Ptgr1"
"1160","Ptgs2"
"1161","Ptk7"
